Description,Unit of Measure
FY DL Procurement,Each
FY Casey Life Skills Assessment-PRE,Each
FY Casey Life Skills Assessment-POST,Each
FY Accessing Medical Services,Each
FY Accessing Mental Health,Each
YTH Dropout Prevention,Each
YTH Alternative Secondary School Services,Each
YTH Un-Subsidized Employment,Each
YTH Soft Skills Training,Each
YTH Leadership Development Opportunities,Each
YTH Supportive Services,Each
YTH Adult Mentoring,Each
YTH Drug and Alcohol Abuse Counseling,Each
YTH Financial Literacy Education,Each
YTH Entrepreneurial Skills Training,Each
YTH Career Planning,Each
YTH Post-Secondary Planning,Each
YTH Streamline,Each
YTH Own Car,Each
YTH Vital Document Procurement,Each
YTH DL Procurement,Each
YTH Casey Life Skills Assessment-PRE,Each
YTH Casey Life Skills Assessment-POST,Each
YTH Accessing Medical Services,Each
YTH Accessing Mental Health,Each
WIOA-ISY Obtained Employment,Each
WIOA-ISY Maintained 90 days of Un-Subsidized Employment,Each
WIOA-ISY Attending High School,Each
WIOA-ISY Adult Education,Each
WIOA-ISY Attending Post-Secondary Education,Each
WIOA-ISY Obtained Diploma/HS Equivalency,Each
WIOA-ISY Obtained Certificate,Each
WIOA-ISY Obtained Post-Secondary Degree,Each
WIOA-OSY Obtained Employment,Each
WIOA-OSY Maintained 90 days of Un-Subsidized Employment,Each
WIOA-OSY Attending High School,Each
WIOA-OSY Adult Education,Each
WIOA-OSY Attending Post-Secondary Education,Each
WIOA-OSY Obtained Diploma/HS Equivalency,Each
WIOA-OSY Obtained Certificate,Each
WIOA-OSY Obtained Post-Secondary Degree,Each
FY Obtained Employment,Each
FY Maintained 90 days of Un-Subsidized Employment,Each
FY Attending High School,Each
FY Adult Education,Each
FY Attending Post-Secondary Education,Each
FY Obtained Diploma/HS Equivalency,Each
FY Obtained Certificate,Each
FY Obtained Post-Secondary Degree,Each
FY TLP Developed,Each
FY SS Clothing,Dollar
FY SS Education,Dollar
FY SS Food,Dollar
FY SS Health Care,Dollar
FY SS Household Items,Dollar
FY SS Housing/Rental,Dollar
FY SS Transportation,Dollar
FY SS Other,Dollar
YTH Obtained Employment,Each
YTH Maintained 90 days of Un-Subsidized Employment,Each
YTH Attending High School,Each
YTH Adult Education,Each
YTH Attending Post-Secondary Education,Each
YTH Obtained Diploma/HS Equivalency,Each
YTH Obtained Certificate,Each
YTH Obtained Post-Secondary Degree,Each
YTH TLP Developed,Each
YTH SS Clothing,Dollar
YTH SS Education,Dollar
YTH SS Food,Dollar
YTH SS Health Care,Dollar
YTH SS Household Items,Dollar
YTH SS Housing/Rental,Dollar
YTH SS Transportation,Dollar
YTH SS Other,Dollar
Meal - SFSP - Lewis & Clark Park,Each
Meal - SFSP - Fork & Spoon - Supper,Each
Meal - SFSP - Lewis & Clark Park - Seconds,Each
Case Management - Warming Center,Each
Security Deposit,Dollar
First Month's Rent,Dollar
Lease Up - Cottages at Menicucci Square,Lease Up
Transformative Series,Each
Housing Navigation - Carriage House,Each
Housing Workshop - Carriage House,Each
SOAR,Each
Mental/Behavioral Health Counseling,Each
Service Navigation/Care Coordination,Each
Group,Each
Coordinated Entry Event,Each
Perishable Visit,Individuals
KidsPack - Belgrade Middle School,Each
KidsPack - Cottonwood School,Each
Meal - SFFP - Alta Care Sacajawea,Each
Meal - SFFP - Alta Care Sacajawea - Breakfast,Each
Meal - SFFP - Alta Care Sacajawea - Breakfast - Seconds,Each
Meal - SFFP - Alta Care Sacajawea - Seconds,Each
Meal - SFFP - Alta Care CJMS/SMS2 - Breakfast - Seconds,Each
Meal - SFFP - Alta Care CJMS/SMS2 - Breakfast,Each
Meal - SFFP - Alta Care CJMS/SMS2 - Seconds,Each
Meal - SFFP - Alta Care CJMS/SMS2,Each
Meal - SFFP - Alta Care Meadowlark  -Breakfast - Seconds,Each
Meal - SFFP - Alta Care Meadowlark - Breakfast,Each
Meal - SFFP - Alta Care Meadowlark - Seconds,Each
Meal - SFFP - Alta Care Meadowlark,Each
Meal - SFFP - Alta Care Whittier,Each
Meal - SFFP - Alta Care Whittier - Breakfast,Each
Meal - SFFP - Alta Care Whittier - Breakfast - Seconds,Each
Meal - SFFP - Alta Care Whittier - Seconds,Each
Meal - SFFP - Longfellow CSCT,Each
Meal - SFFP - Longfellow CSCT - Breakfast,Each
Meal - SFFP - Longfellow CSCT - Breakfast - Seconds,Each
Meal - SFFP - Longfellow CSCT - Seconds,Each
Meal - SFFP - West Yellowstone - Snack,Each
Meal - SFFP - West Yellowstone - Snack - Seconds,Each
Daytime Check-in,Each
Food Box Delivery,Each
RLF,Dollar
ESG RRH - Rental Assistance,Each
ESG HP - Rental Assistance,Each
CoC - Rental Assistance,Dollar
Lease Up,Each
Case Management - Shelter,Each
ESG - Utility Assistance,Dollar
CoC - Utility Assistance,Dollar
Seeking Safety,Each
Outreach - Street,Each
Outreach - Shelter,Each
Street Outreach - Engagement,Each
Case Management - Street Outreach,Each
Inspection - New Unit,Each
Inspection - Biennial,Each
Voucher Issuance - New Admission,Each
Voucher Issuance - Mover,Each
HUD Housing Counseling,Hours
End of Participation,Each
LIEAP CARES,Dollar
DPA - Big Sky Trust,Dollar
DPA - LIFT,Dollar
DPA - NSP,Dollar
Heat and Eat - CARES,Dollar
Shelter In Place,Each
Quarantine,Each
Isolation,Each
Voucher Issuance Briefing,Each
Medically Necessary Shelter,Each
Accessing Medical Services,Each
Accessing Mental Health,Each
Adult Education,Each
Adult Mentoring,Each
Alternative Secondary School Services,Each
Attending High School,Each
Attending Post-Secondary Education,Each
Career Planning,Each
Casey Life Skills Assessment-POST,Score
Casey Life Skills Assessment-PRE,Score
DL Procurement,Each
Dropout Prevention,Each
Drug and Alcohol Abuse Counseling,Each
Entrepreneurial Skills Training,Each
Financial Literacy Education,Each
Follow Up Services,Each
Internships,Each
Leadership Development Opportunities,Each
Maintained 90 days of Un-Subsidized Employment,Each
Obtained Certificate,Each
Obtained Diploma/HS Equivalency,Each
Obtained Employment,Each
Obtained Post-Secondary Degree,Each
Obtained Post-Secondary Degree,Each
Own Car,Each
Post-Secondary Planning,Each
Pre-Apprenticeship,Each
Soft Skills Training,Each
SS Clothing,Dollar
SS Education,Dollar
SS Food,Dollar
SS Health Care,Dollar
SS Household Items,Dollar
SS Housing/Rental,Dollar
SS Other,Dollar
SS Transportation,Dollar
Streamline,Each
Supportive Services,Each
TLP Developed,Each
Un-Subsidized Employment,Each
Vital Document Procurement,Each
WEX,Each
Occupational Skills Training,Each
Credit Repair,Each
Debt Reduction Counseling,Each
Retirement Planning,Each
Set Up Bank Account,Each
Income Supports Screening,Each
Education Related to Financial Resource Coaching,Each
SS Cell Phone,Dollar
YHDP-PSH Rental Assistance,Dollar
YHDP-PSH Utility Assistance,Dollar
YHDP-RRH Rental Assistance,Dollar
YHDP-RRH Utility Assistance,Dollar
YHDP-SN Education Services,Dollar
YHDP-SN Food Assistance,Dollar
YHDP-SN Moving Assistance,Dollar
YHDP-SN Rental Application Fee,Dollar
YHDP-SN Transportation Assistance,Each
YHDP-SN Utility Deposit,Dollar
YHDP-TH.RRH Education Services,Dollar
YHDP-TH.RRH Moving Assistance,Dollar
YHDP-TH.RRH Rental Application Fee,Each
YHDP-TH.RRH Rental Assistance,Dollar
YHDP-TH.RRH Transportation Assistance,Dollar
YHDP-TH.RRH Utility Assistance,Dollar
Blueprint Interim Housing,Each
Blueprint Lease Up,Each
Transportation - Ride,Each
Goal Development,Each
Voucher Expired,Each
Boulevards - Lease up,Each
Boulevards - Annual Certification,Each
Boulevards - Interim,Each
KidsPack - Amsterdam,Each
KidsPack - Belgrade HS,Each
KidsPack - Bozeman HS,Each
KidsPack - Cardwell,Each
KidsPack - Chief Joseph MS,Each
KidsPack - Ennis,Each
KidsPack - Sacajawea,Each
Meal - SFSP - Gallatin Valley Food Bank - Breakfast,Each
Meal - SFSP - Gallatin Valley Food Bank - Breakfast- Seconds,Each
Meal - SFSP - Gallatin Valley Food Bank,Each
Meal - SFSP - Gallatin Valley Food Bank - Seconds,Each
Meal - SFSP - Irving Elementary - Breakfast,Each
Meal - SFSP - Irving Elementary - Breakfast - Seconds,Each
Meal - SFSP - Story Mill Park- Breakfast,Each
Meal - SFSP - Story Mill Park- Breakfast - Seconds,Each
Meal - SFSP - Story Mill Park,Each
Meal - SFSP - Story Mill Park - Seconds,Each
Meal - SFSP - Walton Homestead Park - Breakfast,Each
Meal - SFSP - Walton Homestead Park - Breakfast - Seconds,Each
Meal - SFSP - Walton Homestead Park,Each
Meal - SFSP - Walton Homestead Park - Seconds,Each
Credit Counseling,Hours
Employment Counseling and Job Coaching,Hours
Budgeting and Money Management,Hours
Utility Arrears,Dollar
Rental Arrears,Dollar
Application,Each
Utility Assistance,Dollar
Day Service Access,Each
Nap,Each
KidsPack - Gallatin High School,Each
Medidation,Hours
Yoga,Hours
Community Gardening,Hours
Peer Support Services,Each
Recovery Group,Hours
ESOM WX Supp,Dollar
Landlord Fees,Dollar
Moving Expenses,Dollar
Background Check,Each
Employment Certifications and Licenses,Each
Interpreter Services,Each
Work Supplies,Dollar
Vehicle Repairs,Dollar
Street Outreach - Contact,Each
Intake - Day Center,Each
Intake - Warming Center,Each
Intake - Street Outreach,Each
Transportation Fare,Dollar
